"","Name","Clean_Company_Maturity","WKN","URL","ISIN","Company","Kupon_Maturity","Coupon","Maturity_Start","Maturity_End","is_green","last_price","DateTime","Volume.in.Euro","X.....","Currency","YTM","modified_duration","Kupon","Emittent","Branche","Fälligkeit","Schuldnerkündigungsart","Sonderkündigung","Nachrangig","Kleinste.handelbare.Einheit","Spezialist","Handelsmodell","Emissionsdatum","Emissionsvolumen","Umlaufendes.Volumen","Emissionswährung","Depotwährung","Notierungsaufnahme","Emission_year_2020.0","Emission_year_2021.0","Emission_year_2022.0","Emission_year_2023.0","Emission_year_2024.0","Emission_year_2025.0","Date","fälligkeit_datum","emission_datum","days_to_maturity","maturity_years"
"41","ZF Finance GmbH 2% 21/27","zf finance gmbh 2 21 27","A3E5KP","https://www.boerse-frankfurt.de/anleihe/xs2338564870-zf-finance-gmbh-2-21-27","xs2338564870","zf finance gmbh","2 21 27",2,21,27,1,93.7,NA,0,"0,06","Euro",4.85,1.964,"20","ZF Finance GmbH","(Industrie-) und Bankschuldverschreibungen","06,05,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","06/05/2021",5e+08,5e+08,"EUR","EUR","03,05,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","06/05/2027","06/05/2021",853,2.33698630136986
"42","Evonik Industries AG 1,375% 21/81","evonik industries ag 1 375 21 81","A3E5WW","https://www.boerse-frankfurt.de/anleihe/de000a3e5ww4-evonik-industries-ag-1-375-21-81","de000a3e5ww4","evonik industries ag","1 375 21 81",1.375,21,81,1,95.77,NA,0,"0,22","Euro",1.48,NA,"13.75","Evonik Industries AG","(Industrie-) und Bankschuldverschreibungen","02,09,2081","Special call","02/12/2026","Ja",100000,"ODDO BHF SE","Fortlaufende Auktion","02/09/2021",5e+08,5e+08,"EUR","EUR","30,08,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","02/09/2081","02/09/2021",20696,56.7013698630137
"43","ZF Finance GmbH 2,75% 20/27","zf finance gmbh 2 75 20 27","A3H24P","https://www.boerse-frankfurt.de/anleihe/xs2262961076-zf-finance-gmbh-2-75-20-27","xs2262961076","zf finance gmbh","2 75 20 27",2.75,20,27,0,94.91,NA,0,"-0,05","Euro",5.01,1.994,"27.5","ZF Finance GmbH","(Industrie-) und Bankschuldverschreibungen","25,05,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","25/11/2020",5e+08,5e+08,"EUR","EUR","24,11,2020",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","25/05/2027","25/11/2020",872,2.38904109589041
"44","E.ON SE 0,6% 21/32","e on se 0 6 21 32","A3H3J4","https://www.boerse-frankfurt.de/anleihe/xs2327420977-e-on-se-0-6-21-32","xs2327420977","e on se","0 6 21 32",0.6,21,32,1,82.79,NA,0,"-0,04","Euro",3.09,5.885,"0,600%","E,ON SE","(Industrie-) und Bankschuldverschreibungen","01,10,2032","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","01/04/2021",7.5e+08,7.5e+08,"EUR","EUR","29,03,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","01/10/2032","01/04/2021",2828,7.74794520547945
"45","Mercedes-Benz Group AG 0,75% 21/33","mercedes benz group ag 0 75 21 33","A3H3JM","https://www.boerse-frankfurt.de/anleihe/de000a3h3jm4-mercedes-benz-group-ag-0-75-21-33","de000a3h3jm4","mercedes benz group ag","0 75 21 33",0.75,21,33,1,82.29,NA,0,"-0,06","Euro",3.2,6.04,"0,750%","Mercedes-Benz Group AG","(Industrie-) und Bankschuldverschreibungen","11,03,2033","","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","11/03/2021",1e+09,1e+09,"EUR","EUR","08,03,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","11/03/2033","11/03/2021",2989,8.18904109589041
"46","Nordea Bank Abp 1,125% 22/27","nordea bank abp 1 125 22 27","A3K2B2","https://www.boerse-frankfurt.de/anleihe/xs2443893255-nordea-bank-abp-1-125-22-27","xs2443893255","nordea bank abp","1 125 22 27",1.125,22,27,1,96.51,NA,0,"-0,03","Euro",2.82,1.848,"11.25","Nordea Bank Abp","WÃ¤hrungsanleihen","16,02,2027","Special call","","Nein",100000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","16/02/2022",1e+09,1e+09,"EUR","EUR","14,02,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","16/02/2027","16/02/2022",774,2.12054794520548
"47","Iberdrola Finanzas S.A. 1,375% 22/32","iberdrola finanzas s a 1 375 22 32","A3K3DA","https://www.boerse-frankfurt.de/anleihe/xs2455983861-iberdrola-finanzas-s-a-1-375-22-32","xs2455983861","iberdrola finanzas s a","1 375 22 32",1.375,22,32,1,89,NA,0,"-0,10","Euro",3.07,5.469,"13.75","Iberdrola Finanzas S,A,","WÃ¤hrungsanleihen","11,03,2032","Special call","","",100000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","11/03/2022",1e+09,1e+09,"EUR","EUR","10,03,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","11/03/2032","11/03/2022",2624,7.18904109589041
"48","Mizuho Financial Group Inc. 2,096% 22/32","mizuho financial group inc 2 096 22 32","A3K3YU","https://www.boerse-frankfurt.de/anleihe/xs2465984529-mizuho-financial-group-inc-2-096-22-32","xs2465984529","mizuho financial group inc","2 096 22 32",2.096,22,32,0,91.37,NA,0,"-0,17","Euro",3.43,5.253,"20.96","Mizuho Financial Group Inc,","WÃ¤hrungsanleihen","08,04,2032","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","08/04/2022",7.5e+08,7.5e+08,"EUR","EUR","07,04,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","08/04/2032","08/04/2022",2652,7.26575342465753
"49","De Volksbank N.V. 2,375% 22/27","de volksbank n v 2 375 22 27","A3K41N","https://www.boerse-frankfurt.de/anleihe/xs2475502832-de-volksbank-n-v-2-375-22-27","xs2475502832","de volksbank n v","2 375 22 27",2.375,22,27,1,99,NA,0,"-0,01","Euro",2.82,NA,"23.75","De Volksbank N,V,","WÃ¤hrungsanleihen","04,05,2027","Special call","","Nein",100000,"BAADER BANK AG","Fortlaufende Auktion","04/05/2022",5e+08,5e+08,"EUR","EUR","28,04,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","04/05/2027","04/05/2022",851,2.33150684931507
"50","ProLogis International Funding II S.A. 3,125% 22/31","prologis international funding ii s a 3 125 22 31","A3K5ZM","https://www.boerse-frankfurt.de/anleihe/xs2485265214-prologis-international-funding-ii-s-a-3-125-22-31","xs2485265214","prologis international funding ii s a","3 125 22 31",3.125,22,31,1,98.94,NA,0,"0,06","Euro",3.31,4.722,"31.25","ProLogis International Funding II S,A,","WÃ¤hrungsanleihen","01,06,2031","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","01/06/2022",5.5e+08,5.5e+08,"EUR","EUR","20,05,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","01/06/2031","01/06/2022",2340,6.41095890410959
"51","Volkswagen International Finance N.V. 3,75% 22/27","volkswagen international finance n v 3 75 22 27","A3K61H","https://www.boerse-frankfurt.de/anleihe/xs2491738949-volkswagen-international-finance-n-v-3-75-22-27","xs2491738949","volkswagen international finance n v","3 75 22 27",3.75,22,27,1,101.2,NA,0,"0,04","Euro",3.29,2.298,"37.5","Volkswagen International Finance N,V,","WÃ¤hrungsanleihen","28,09,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","28/06/2022",7.5e+08,7.5e+08,"EUR","EUR","23,06,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","28/09/2027","28/06/2022",998,2.73424657534247
"52","AB Svensk Exportkredit 2% 22/27","ab svensk exportkredit 2 22 27","A3K63X","https://www.boerse-frankfurt.de/anleihe/xs2491737461-ab-svensk-exportkredit-2-22-27","xs2491737461","ab svensk exportkredit","2 22 27",2,22,27,1,98.57,NA,0,"-0,02","Euro",2.59,2.168,"20","AB Svensk Exportkredit","WÃ¤hrungsanleihen","30,06,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","30/06/2022",7e+08,7e+08,"EUR","EUR","27,06,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","30/06/2027","30/06/2022",908,2.48767123287671
"53","Generali S.p.A. 5,8% 22/32","generali s p a 5 8 22 32","A3K7AL","https://www.boerse-frankfurt.de/anleihe/xs2468223107-generali-s-p-a-5-8-22-32","xs2468223107","generali s p a","5 8 22 32",5.8,22,32,1,112.11,NA,0,"-0,11","Euro",3.95,4.75,"58","Generali S,p,A,","WÃ¤hrungsanleihen","06,07,2032","Special call","","Ja",200000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","06/07/2022",5e+08,5e+08,"EUR","EUR","20,04,2023",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","06/07/2032","06/07/2022",2741,7.50958904109589
"54","ProLogis International Funding II S.A. 3,625% 22/30","prologis international funding ii s a 3 625 22 30","A3K811","https://www.boerse-frankfurt.de/anleihe/xs2529520715-prologis-international-funding-ii-s-a-3-625-22-30","xs2529520715","prologis international funding ii s a","3 625 22 30",3.625,22,30,1,101.41,NA,0,"-0,14","Euro",3.33,4.015,"36.25","ProLogis International Funding II S,A,","WÃ¤hrungsanleihen","07,03,2030","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","07/09/2022",5.5e+08,5.5e+08,"EUR","EUR","02,09,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","07/03/2030","07/09/2022",1889,5.17534246575342
"55","Mizuho Financial Group Inc. 3,49% 22/27","mizuho financial group inc 3 49 22 27","A3K81T","https://www.boerse-frankfurt.de/anleihe/xs2528323780-mizuho-financial-group-inc-3-49-22-27","xs2528323780","mizuho financial group inc","3 49 22 27",3.49,22,27,1,101.44,NA,0,"-0,03","Euro",2.93,2.292,"34.9","Mizuho Financial Group Inc,","WÃ¤hrungsanleihen","05,09,2027","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","05/09/2022",8e+08,8e+08,"EUR","EUR","01,09,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","05/09/2027","05/09/2022",975,2.67123287671233
"56","Japan Finance Organization for Municipalities 0,01% 21/28","japan finance organization for municipalities 0 01 21 28","A3KLAA","https://www.boerse-frankfurt.de/anleihe/xs2291905474-japan-finance-organization-for-municipalities-0-01-21-28","xs2291905474","japan finance organization for municipalities","0 01 21 28",0.01,21,28,1,92.26,NA,0,"-0,05","Euro",2.62,2.712,"0,010%","Japan Finance Organization for Municipalities","WÃ¤hrungsanleihen","02,02,2028","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","02/02/2021",5e+08,5e+08,"EUR","EUR","29,01,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","02/02/2028","02/02/2021",1125,3.08219178082192
"57","Credit Agricole Italia S.p.A. 0,125% 21/33","credit agricole italia s p a 0 125 21 33","A3KM40","https://www.boerse-frankfurt.de/anleihe/it0005437733-credit-agricole-italia-s-p-a-0-125-21-33","it0005437733","credit agricole italia s p a","0 125 21 33",0.125,21,33,1,78.27,NA,0,"-0,05","Euro",3.11,6.268,"0,125%","Credit Agricole Italia S,p,A,","WÃ¤hrungsanleihen","15,03,2033","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","15/03/2021",5e+08,5e+08,"EUR","EUR","23,11,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","15/03/2033","15/03/2021",2993,8.2
"58","EnBW International Finance B.V. 0,125% 21/28","enbw international finance b v 0 125 21 28","A3KMDZ","https://www.boerse-frankfurt.de/anleihe/xs2306986782-enbw-international-finance-b-v-0-125-21-28","xs2306986782","enbw international finance b v","0 125 21 28",0.125,21,28,0,93.24,NA,932,"0,12","Euro",2.36,2.783,"0,125%","EnBW International Finance B,V,","WÃ¤hrungsanleihen","01,03,2028","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","01/03/2021",5e+08,5e+08,"EUR","EUR","24,02,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","01/03/2028","01/03/2021",1153,3.15890410958904
"59","De Volksbank N.V. 0,375% 21/28","de volksbank n v 0 375 21 28","A3KMLE","https://www.boerse-frankfurt.de/anleihe/xs2308298962-de-volksbank-n-v-0-375-21-28","xs2308298962","de volksbank n v","0 375 21 28",0.375,21,28,1,91.12,NA,0,"-0,02","Euro",3.33,2.728,"0,375%","De Volksbank N,V,","WÃ¤hrungsanleihen","03,03,2028","Special call","","Nein",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","03/03/2021",5e+08,5e+08,"EUR","EUR","26,02,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","03/03/2028","03/03/2021",1155,3.16438356164384
"60","ProLogis International Funding II S.A. 0,75% 21/33","prologis international funding ii s a 0 75 21 33","A3KNAN","https://www.boerse-frankfurt.de/anleihe/xs2314657409-prologis-international-funding-ii-s-a-0-75-21-33","xs2314657409","prologis international funding ii s a","0 75 21 33",0.75,21,33,1,80.04,NA,0,"-0,04","Euro",3.53,5.952,"0,750%","ProLogis International Funding II S,A,","WÃ¤hrungsanleihen","23,03,2033","Special call","","",125000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","23/03/2021",5e+08,5e+08,"EUR","EUR","11,03,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","23/03/2033","23/03/2021",3001,8.22191780821918
"61","Nederlandse Waterschapsbank N.V. 0,5% 21/51","nederlandse waterschapsbank n v 0 5 21 51","A3KPVU","https://www.boerse-frankfurt.de/anleihe/xs2334267098-nederlandse-waterschapsbank-n-v-0-5-21-51","xs2334267098","nederlandse waterschapsbank n v","0 5 21 51",0.5,21,51,1,51.36,NA,0,"-0,19","Euro",3.1,10.081,"0,500%","Nederlandse Waterschapsbank N,V,","WÃ¤hrungsanleihen","26,04,2051","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","26/04/2021",7.1e+08,7.1e+08,"EUR","EUR","21,04,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","26/04/2051","26/04/2021",9609,26.3260273972603
"62","Raiffeisen Bank International AG 1,375% 21/33","raiffeisen bank international ag 1 375 21 33","A3KSH7","https://www.boerse-frankfurt.de/anleihe/xs2353473692-raiffeisen-bank-international-ag-1-375-21-33","xs2353473692","raiffeisen bank international ag","1 375 21 33",1.375,21,33,1,90.84,NA,0,"0,04","Euro",2.58,NA,"13.75","Raiffeisen Bank International AG","WÃ¤hrungsanleihen","17,06,2033","Special call","","Ja",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","17/06/2021",5e+08,5e+08,"EUR","EUR","11,06,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","17/06/2033","17/06/2021",3087,8.45753424657534
"63","Instituto de Credito Oficial 0,000% 21/27","instituto de credito oficial 0 000 21 27","A3KSMW","https://www.boerse-frankfurt.de/anleihe/xs2356033147-instituto-de-credito-oficial-0-000-21-27","xs2356033147","instituto de credito oficial","0 000 21 27",0,21,27,1,94.46,NA,0,"-0,15","Euro",2.46,2.05,"","Instituto de Credito Oficial","WÃ¤hrungsanleihen","30,04,2027","Special call","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","21/06/2021",5e+08,5e+08,"EUR","EUR","16,06,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","30/04/2027","21/06/2021",847,2.32054794520548
"64","De Volksbank N.V. 0,25% 21/26","de volksbank n v 0 25 21 26","A3KSXY","https://www.boerse-frankfurt.de/anleihe/xs2356091269-de-volksbank-n-v-0-25-21-26","xs2356091269","de volksbank n v","0 25 21 26",0.25,21,26,1,96.05,NA,0,"0,01","Euro",3,1.252,"0,250%","De Volksbank N,V,","WÃ¤hrungsanleihen","22,06,2026","Special call","","Nein",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","22/06/2021",5e+08,5e+08,"EUR","EUR","17,06,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","22/06/2026","22/06/2021",535,1.46575342465753
"65","Caisse Francaise de Financement Local 0,125% 21/31","caisse francaise de financement local 0 125 21 31","A3KTDV","https://www.boerse-frankfurt.de/anleihe/fr00140049n1-caisse-francaise-de-financement-local-0-125-21-31","fr00140049n1","caisse francaise de financement local","0 125 21 31",0.125,21,31,0,83.48,NA,0,"-0,13","Euro",2.91,5.276,"0,125%","Caisse Francaise de Financement Local","WÃ¤hrungsanleihen","30,06,2031","","","",100000,"BAADER BANK AG","Fortlaufende Auktion","30/06/2021",1e+09,1e+09,"EUR","EUR","25,06,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","30/06/2031","30/06/2021",2369,6.49041095890411
"66","Power Finance Corp. Ltd. 1,841% 21/28","power finance corp ltd 1 841 21 28","A3KWCY","https://www.boerse-frankfurt.de/anleihe/xs2384373341-power-finance-corp-ltd-1-841-21-28","xs2384373341","power finance corp ltd","1 841 21 28",1.841,21,28,1,92.03,NA,0,"0,09","Euro",4.15,3.042,"18.41","Power Finance Corp, Ltd,","WÃ¤hrungsanleihen","21,09,2028","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","21/09/2021",3e+08,3e+08,"EUR","EUR","16,09,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","21/09/2028","21/09/2021",1357,3.71780821917808
"67","Nordea Bank Abp 0,5% 21/28","nordea bank abp 0 5 21 28","A3KX87","https://www.boerse-frankfurt.de/anleihe/xs2403444677-nordea-bank-abp-0-5-21-28","xs2403444677","nordea bank abp","0 5 21 28",0.5,21,28,0,91.01,NA,0,"-0,05","Euro",2.98,3.296,"0,500%","Nordea Bank Abp","WÃ¤hrungsanleihen","02,11,2028","Special call","","Nein",100000,"BAADER BANK AG","Fortlaufende Auktion","02/11/2021",1e+09,1e+09,"EUR","EUR","28,10,2021",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"03/01/2025","02/11/2028","02/11/2021",1399,3.83287671232877
"68","ProLogis International Funding II S.A. 4,375% 24/36","prologis international funding ii s a 4 375 24 36","A3L0BJ","https://www.boerse-frankfurt.de/anleihe/xs2847688251-prologis-international-funding-ii-s-a-4-375-24-36","xs2847688251","prologis international funding ii s a","4 375 24 36",4.375,24,36,0,104.57,NA,0,"0,18","Euro",3.89,6.056,"43.75","ProLogis International Funding II S,A,","WÃ¤hrungsanleihen","01,07,2036","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","01/07/2024",5e+08,5e+08,"EUR","EUR","19,06,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","01/07/2036","01/07/2024",4197,11.4986301369863
"69","Iberdrola Finanzas S.A. 3,625% 24/34","iberdrola finanzas s a 3 625 24 34","A3L1JT","https://www.boerse-frankfurt.de/anleihe/xs2861000235-iberdrola-finanzas-s-a-3-625-24-34","xs2861000235","iberdrola finanzas s a","3 625 24 34",3.625,24,34,0,101.87,NA,0,"0,03","Euro",3.4,6.024,"36.25","Iberdrola Finanzas S,A,","WÃ¤hrungsanleihen","18,07,2034","Special call","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","18/07/2024",7.5e+08,7.5e+08,"EUR","EUR","11,07,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","18/07/2034","18/07/2024",3483,9.54246575342466
"70","Generali S.p.A. 4,156% 24/35","generali s p a 4 156 24 35","A3L351","https://www.boerse-frankfurt.de/anleihe/xs2911633274-generali-s-p-a-4-156-24-35","xs2911633274","generali s p a","4 156 24 35",4.156,24,35,0,102.25,NA,204.5,"1,40","Euro",3.89,5.63,"41.56","Generali S,p,A,","WÃ¤hrungsanleihen","03,01,2035","Special call","","Ja",200000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","03/10/2024",7.5e+08,7.5e+08,"EUR","EUR","19,11,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","03/01/2035","03/10/2024",3652,10.0054794520548
"71","EnBW International Finance B.V. 3,75% 24/35","enbw international finance b v 3 75 24 35","A3L595","https://www.boerse-frankfurt.de/anleihe/xs2942479044-enbw-international-finance-b-v-3-75-24-35","xs2942479044","enbw international finance b v","3 75 24 35",3.75,24,35,0,100.5,NA,4.02,"0,00","Euro",3.69,6.184,"37.5","EnBW International Finance B,V,","WÃ¤hrungsanleihen","20,11,2035","Special call","","",1000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","20/11/2024",1e+09,1e+09,"EUR","EUR","15,11,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","20/11/2035","20/11/2024",3973,10.8849315068493
"72","De Volksbank N.V. 4,125% 24/35","de volksbank n v 4 125 24 35","A3L6GY","https://www.boerse-frankfurt.de/anleihe/xs2948048462-de-volksbank-n-v-4-125-24-35","xs2948048462","de volksbank n v","4 125 24 35",4.125,24,35,0,99.06,NA,0,"-0,06","Euro",4.23,NA,"41.25","De Volksbank N,V,","WÃ¤hrungsanleihen","27,11,2035","Special call","","Ja",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","27/11/2024",5e+08,5e+08,"EUR","EUR","22,11,2024",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"03/01/2025","27/11/2035","27/11/2024",3980,10.9041095890411
"73","Nederlandse Waterschapsbank N.V. 2,75% 22/27","nederlandse waterschapsbank n v 2 75 22 27","A3LA5H","https://www.boerse-frankfurt.de/anleihe/xs2553554812-nederlandse-waterschapsbank-n-v-2-75-22-27","xs2553554812","nederlandse waterschapsbank n v","2 75 22 27",2.75,22,27,1,100.68,NA,0,"-0,16","Euro",2.5,2.467,"27.5","Nederlandse Waterschapsbank N,V,","WÃ¤hrungsanleihen","09,11,2027","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","09/11/2022",5e+08,5e+08,"EUR","EUR","04,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","09/11/2027","09/11/2022",1040,2.84931506849315
"74","Volkswagen International Finance N.V. 4,25% 22/28","volkswagen international finance n v 4 25 22 28","A3LA6B","https://www.boerse-frankfurt.de/anleihe/xs2554488978-volkswagen-international-finance-n-v-4-25-22-28","xs2554488978","volkswagen international finance n v","4 25 22 28",4.25,22,28,1,102.67,NA,0,"-0,02","Euro",3.35,2.598,"42.5","Volkswagen International Finance N,V,","WÃ¤hrungsanleihen","15,02,2028","Special call","","",100000,"ODDO BHF SE","Fortlaufende Auktion","15/11/2022",7.5e+08,7.5e+08,"EUR","EUR","09,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","15/02/2028","15/11/2022",1138,3.11780821917808
"75","Volkswagen International Finance N.V. 4,375% 22/30","volkswagen international finance n v 4 375 22 30","A3LA6C","https://www.boerse-frankfurt.de/anleihe/xs2554489513-volkswagen-international-finance-n-v-4-375-22-30","xs2554489513","volkswagen international finance n v","4 375 22 30",4.375,22,30,1,103.07,NA,0,"-0,09","Euro",3.75,3.975,"43.75","Volkswagen International Finance N,V,","WÃ¤hrungsanleihen","15,05,2030","Special call","","",100000,"ODDO BHF SE","Fortlaufende Auktion","15/11/2022",7.5e+08,7.5e+08,"EUR","EUR","09,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","15/05/2030","15/11/2022",1958,5.36438356164384
"76","Caisse Francaise de Financement Local 3,125% 22/27","caisse francaise de financement local 3 125 22 27","A3LBDB","https://www.boerse-frankfurt.de/anleihe/fr001400dxr9-caisse-francaise-de-financement-local-3-125-22-27","fr001400dxr9","caisse francaise de financement local","3 125 22 27",3.125,22,27,1,101.18,NA,0,"-0,03","Euro",2.7,2.467,"31.25","Caisse Francaise de Financement Local","WÃ¤hrungsanleihen","16,11,2027","","","",100000,"WOLFGANG STEUBING AG","Fortlaufende Auktion","16/11/2022",7.5e+08,7.5e+08,"EUR","EUR","10,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","16/11/2027","16/11/2022",1047,2.86849315068493
"77","EnBW International Finance B.V. 3,625% 22/26","enbw international finance b v 3 625 22 26","A3LBKB","https://www.boerse-frankfurt.de/anleihe/xs2558395351-enbw-international-finance-b-v-3-625-22-26","xs2558395351","enbw international finance b v","3 625 22 26",3.625,22,26,1,101.43,NA,0,"-0,06","Euro",2.85,1.624,"36.25","EnBW International Finance B,V,","WÃ¤hrungsanleihen","22,11,2026","Special call","","",1000,"WALTER LUDWIG GMBH WERTPAPIERHANDELSBANK","Fortlaufende Auktion","22/11/2022",5e+08,5e+08,"EUR","EUR","22,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","22/11/2026","22/11/2022",688,1.88493150684932
"78","EnBW International Finance B.V. 4,049% 22/29","enbw international finance b v 4 049 22 29","A3LBKC","https://www.boerse-frankfurt.de/anleihe/xs2558395278-enbw-international-finance-b-v-4-049-22-29","xs2558395278","enbw international finance b v","4 049 22 29",4.049,22,29,1,104.77,NA,1.048,"0,23","Euro",3,3.851,"40.49","EnBW International Finance B,V,","WÃ¤hrungsanleihen","22,11,2029","Special call","","",1000,"ODDO BHF SE","Fortlaufende Auktion","22/11/2022",5e+08,5e+08,"EUR","EUR","22,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","22/11/2029","22/11/2022",1784,4.88767123287671
"79","Ungarn, Republik 5% 22/27","ungarn republik 5 22 27","A3LBMA","https://www.boerse-frankfurt.de/anleihe/xs2558594391-ungarn-republik-5-22-27","xs2558594391","ungarn republik","5 22 27",5,22,27,1,103.07,NA,0,"-0,37","Euro",3.51,1.813,"50","Ungarn","WÃ¤hrungsanleihen","22,02,2027","","","",1000,"ICF BANK AG WERTPAPIERHANDELSBANK","Fortlaufende Auktion","21/11/2022",1e+09,1e+09,"EUR","EUR","16,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","22/02/2027","21/11/2022",780,2.13698630136986
"80","Iberdrola Finanzas S.A. 3,125% 22/28","iberdrola finanzas s a 3 125 22 28","A3LBMP","https://www.boerse-frankfurt.de/anleihe/xs2558916693-iberdrola-finanzas-s-a-3-125-22-28","xs2558916693","iberdrola finanzas s a","3 125 22 28",3.125,22,28,1,101.22,NA,0,"-0,16","Euro",2.79,3.245,"31.25","Iberdrola Finanzas S,A,","WÃ¤hrungsanleihen","22,11,2028","Special call","","",100000,"BAADER BANK AG","Fortlaufende Auktion","22/11/2022",7.5e+08,7.5e+08,"EUR","EUR","22,11,2022",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"03/01/2025","22/11/2028","22/11/2022",1419,3.88767123287671
